Country,Year,GDP_Growth,Inflation,Unemployment,R&D_Spending
Brazil,2011,1.02,2.5,4.94,1.79
Brazil,2012,2.34,0.96,4.89,1.83
Brazil,2013,5.45,2.04,4.6,2.24
Brazil,2014,2.33,1.78,7.23,2.15
Brazil,2015,1.7,1.42,5.45,1.55
Brazil,2016,0.23,3.37,9.29,1.75
Brazil,2017,3.36,2.31,12.16,2.16
Brazil,2018,2.31,1.04,2.79,2.15
Brazil,2019,1.37,0.58,4.71,1.82
Brazil,2020,5.03,2.88,5.98,2.42
Brazil,2021,2.62,1.14,9.05,2.1
Brazil,2022,0.94,1.81,4.25,1.71
Brazil,2023,3.89,3.91,3.2,2.2
South Korea,2010,1.52,1.51,4.82,2.94
South Korea,2011,2.57,1.17,6.54,3.13
South Korea,2012,2.14,1.09,4.85,3.31
South Korea,2013,3.25,1.02,6.2,3.34
South Korea,2014,-0.0,2.54,4.67,3.13
South Korea,2015,1.36,0.2,2.74,3.2
South Korea,2016,2.89,1.1,7.28,2.81
South Korea,2017,2.4,0.79,4.7,3.19
South Korea,2018,1.21,1.62,8.01,2.92
South Korea,2019,3.75,0.87,7.06,3.49
South Korea,2020,-1.21,1.2,7.15,2.9
South Korea,2021,3.06,1.4,6.17,3.14
South Korea,2022,4.25,2.25,6.68,3.11
South Korea,2023,1.77,1.57,6.79,3.0
